Entity_type,AR/FA_Name,Original_EN_Name,Tranformed_EN_Name,Category_of_Entity,Disambiguating_GEO_entities,GEOID_from_GEONAMES ,LAT,LNG,Granular/other_name,comments,Number_of_Camels,File,File_Name_in_AR/FA,File_Name_in_EN,Category_of_File_Name
Geographic,كردر,Kardar,Kardar,Unspecified,Found in geonames w/certainty,128697,27.07936,57.03986,,,2,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,كردر,Kardar,Kardar,Village,Found in geonames w/certainty,128698,26.44412,57.18232,,,6,biyaban.txt,بيابان,Biyaban,District
Geographic,كرتان,Karatān,Karatan,Village,Found in geonames w/certainty,128722,26.28668,57.16509,,,5,biyaban.txt,بيابان,Biyaban,District
Geographic,كارندهر,Gārindahu,Garindahu,Village,Found in geonames w/certainty,128731,26.40506,57.13659,,,2,biyaban.txt,بيابان,Biyaban,District
Geographic,كنخك هيراني,Gankhak Hīrāni,Gankhak Hirani,Village,Found in geonames w/certainty,128788,28.26601,51.59379,Katḩak-e Sheykhā,,20,dashti.txt,دشتي,Dashti,District
Geographic,كنگون,Kangūn,Kangun,Unspecified,Found in geonames w/certainty,128847,27.834,52.0628,,,200,kangun.txt,كنگون,Kangun,Unspecified
Geographic,گنگان,Gangān,Gangan,Village,Found in geonames w/certainty,128848,25.8626,57.4622,,,300,jashk_district.txt,جاشک,Jashk district ,District
Geographic,كل بيتا,Gulbīta,Gulbita,Village,Found in geonames w/certainty,129231,28.16809,51.49209,Kalbīā,,60,dashti.txt,دشتي,Dashti,District
Geographic,كلات بالا وزير,Kalāt Bāla and Zīr,Kalat Zir,Village,Found in geonames w/certainty,129254,27.30399,56.07419,Qalāt-e Pā’īn,,15,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,كلات بالا وزير,Kalāt Bāla and Zīr,Kalat Bala,Village,Found in geonames w/certainty,129453,27.3189,56.0965,,,15,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
